id,negation_affirmative1,negation_affirmative2,affirmative_negation1,affirmative_negation2,modal_affirmative1,modal_affirmative2,affirmative_modal1,affirmative_modal2,managed_failed1,managed_failed2,failed_managed1,failed_managed2,know_doubt1,know_doubt2,doubt_know1,doubt_know2,continuation_ref_1,continuation_ref_2,continuation_nonref_1,continuation_nonref_2
1_dog_cat,Liam doesn't own a dog but he owns a cat.,Liam doesn't own a cat but he owns a dog.,Liam owns a dog but he doesn't own a cat.,Liam owns a cat but he doesn't own a dog.,Liam wants to own a dog but he owns a cat.,Liam wants to own a cat but he owns a dog.,Liam owns a dog but he wants to own a cat.,Liam owns a cat but he wants to own a dog.,Liam managed to adopt a dog but he failed to adopt a cat.,Liam managed to adopt a cat but he failed to adopt a dog.,Liam failed to adopt a dog but he managed to adopt a cat.,Liam failed to adopt a cat but he managed to adopt a dog.,I know that Liam owns a dog but I doubt that he owns a cat.,I know that Liam owns a cat but I doubt that he owns a dog.,I doubt that Liam owns a dog but I know that he owns a cat.,I doubt that Liam owns a cat but I know that he owns a dog.,His dog follows him everywhere he goes.,His cat follows him everywhere he goes.,The dog that he liked had been adopted by someone else.,The cat that he liked had been adopted by someone else.
2_dog_hedgehog,Noah doesn't own a dog but he owns a hedgehog.,Noah doesn't own a hedgehog but he owns a dog.,Noah owns a dog but he doesn't own a hedgehog.,Noah owns a hedgehog but he doesn't own a dog.,Noah wants to own a dog but he owns a hedgehog.,Noah wants to own a hedgehog but he owns a dog.,Noah owns a dog but he wants to own a hedgehog.,Noah owns a hedgehog but he wants to own a dog.,Noah managed to adopt a dog but he failed to adopt a hedgehog.,Noah managed to adopt a hedgehog but he failed to adopt a dog.,Noah failed to adopt a dog but he managed to adopt a hedgehog.,Noah failed to adopt a hedgehog but he managed to adopt a dog.,I know that Noah owns a dog but I doubt that he owns a hedgehog.,I know that Noah owns a hedgehog but I doubt that he owns a dog.,I doubt that Noah owns a dog but I know that he owns a hedgehog.,I doubt that Noah owns a hedgehog but I know that he owns a dog.,His dog follows him everywhere he goes.,His hedgehog follows him everywhere he goes.,The dog that he liked had been adopted by someone else.,The hedgehog that he liked had been adopted by someone else.
3_dog_turtle,Ethan doesn't own a dog but he owns a turtle.,Ethan doesn't own a turtle but he owns a dog.,Ethan owns a dog but he doesn't own a turtle.,Ethan owns a turtle but he doesn't own a dog.,Ethan wants to own a dog but he owns a turtle.,Ethan wants to own a turtle but he owns a dog.,Ethan owns a dog but he wants to own a turtle.,Ethan owns a turtle but he wants to own a dog.,Ethan managed to adopt a dog but he failed to adopt a turtle.,Ethan managed to adopt a turtle but he failed to adopt a dog.,Ethan failed to adopt a dog but he managed to adopt a turtle.,Ethan failed to adopt a turtle but he managed to adopt a dog.,I know that Ethan owns a dog but I doubt that he owns a turtle.,I know that Ethan owns a turtle but I doubt that he owns a dog.,I doubt that Ethan owns a dog but I know that he owns a turtle.,I doubt that Ethan owns a turtle but I know that he owns a dog.,His dog follows him everywhere he goes.,His turtle follows him everywhere he goes.,The dog that he liked had been adopted by someone else.,The turtle that he liked had been adopted by someone else.
4_dog_parrot,Jackson doesn't own a dog but he owns a parrot.,Jackson doesn't own a parrot but he owns a dog.,Jackson owns a dog but he doesn't own a parrot.,Jackson owns a parrot but he doesn't own a dog.,Jackson wants to own a dog but he owns a parrot.,Jackson wants to own a parrot but he owns a dog.,Jackson owns a dog but he wants to own a parrot.,Jackson owns a parrot but he wants to own a dog.,Jackson managed to adopt a dog but he failed to adopt a parrot.,Jackson managed to adopt a parrot but he failed to adopt a dog.,Jackson failed to adopt a dog but he managed to adopt a parrot.,Jackson failed to adopt a parrot but he managed to adopt a dog.,I know that Jackson owns a dog but I doubt that he owns a parrot.,I know that Jackson owns a parrot but I doubt that he owns a dog.,I doubt that Jackson owns a dog but I know that he owns a parrot.,I doubt that Jackson owns a parrot but I know that he owns a dog.,His dog follows him everywhere he goes.,His parrot follows him everywhere he goes.,The dog that he liked had been adopted by someone else.,The parrot that he liked had been adopted by someone else.
5_cat_hedgehog,Aiden doesn't own a cat but he owns a hedgehog.,Aiden doesn't own a hedgehog but he owns a cat.,Aiden owns a cat but he doesn't own a hedgehog.,Aiden owns a hedgehog but he doesn't own a cat.,Aiden wants to own a cat but he owns a hedgehog.,Aiden wants to own a hedgehog but he owns a cat.,Aiden owns a cat but he wants to own a hedgehog.,Aiden owns a hedgehog but he wants to own a cat.,Aiden managed to adopt a cat but he failed to adopt a hedgehog.,Aiden managed to adopt a hedgehog but he failed to adopt a cat.,Aiden failed to adopt a cat but he managed to adopt a hedgehog.,Aiden failed to adopt a hedgehog but he managed to adopt a cat.,I know that Aiden owns a cat but I doubt that he owns a hedgehog.,I know that Aiden owns a hedgehog but I doubt that he owns a cat.,I doubt that Aiden owns a cat but I know that he owns a hedgehog.,I doubt that Aiden owns a hedgehog but I know that he owns a cat.,His cat follows him everywhere he goes.,His hedgehog follows him everywhere he goes.,The cat that he liked had been adopted by someone else.,The hedgehog that he liked had been adopted by someone else.
6_cat_turtle,Lucas doesn't own a cat but he owns a turtle.,Lucas doesn't own a turtle but he owns a cat.,Lucas owns a cat but he doesn't own a turtle.,Lucas owns a turtle but he doesn't own a cat.,Lucas wants to own a cat but he owns a turtle.,Lucas wants to own a turtle but he owns a cat.,Lucas owns a cat but he wants to own a turtle.,Lucas owns a turtle but he wants to own a cat.,Lucas managed to adopt a cat but he failed to adopt a turtle.,Lucas managed to adopt a turtle but he failed to adopt a cat.,Lucas failed to adopt a cat but he managed to adopt a turtle.,Lucas failed to adopt a turtle but he managed to adopt a cat.,I know that Lucas owns a cat but I doubt that he owns a turtle.,I know that Lucas owns a turtle but I doubt that he owns a cat.,I doubt that Lucas owns a cat but I know that he owns a turtle.,I doubt that Lucas owns a turtle but I know that he owns a cat.,His cat follows him everywhere he goes.,His turtle follows him everywhere he goes.,The cat that he liked had been adopted by someone else.,The turtle that he liked had been adopted by someone else.
7_cat_parrot,Caden doesn't own a cat but he owns a parrot.,Caden doesn't own a parrot but he owns a cat.,Caden owns a cat but he doesn't own a parrot.,Caden owns a parrot but he doesn't own a cat.,Caden wants to own a cat but he owns a parrot.,Caden wants to own a parrot but he owns a cat.,Caden owns a cat but he wants to own a parrot.,Caden owns a parrot but he wants to own a cat.,Caden managed to adopt a cat but he failed to adopt a parrot.,Caden managed to adopt a parrot but he failed to adopt a cat.,Caden failed to adopt a cat but he managed to adopt a parrot.,Caden failed to adopt a parrot but he managed to adopt a cat.,I know that Caden owns a cat but I doubt that he owns a parrot.,I know that Caden owns a parrot but I doubt that he owns a cat.,I doubt that Caden owns a cat but I know that he owns a parrot.,I doubt that Caden owns a parrot but I know that he owns a cat.,His cat follows him everywhere he goes.,His parrot follows him everywhere he goes.,The cat that he liked had been adopted by someone else.,The parrot that he liked had been adopted by someone else.
8_hedgehog_turtle,Mason doesn't own a hedgehog but he owns a turtle.,Mason doesn't own a turtle but he owns a hedgehog.,Mason owns a hedgehog but he doesn't own a turtle.,Mason owns a turtle but he doesn't own a hedgehog.,Mason wants to own a hedgehog but he owns a turtle.,Mason wants to own a turtle but he owns a hedgehog.,Mason owns a hedgehog but he wants to own a turtle.,Mason owns a turtle but he wants to own a hedgehog.,Mason managed to adopt a hedgehog but he failed to adopt a turtle.,Mason managed to adopt a turtle but he failed to adopt a hedgehog.,Mason failed to adopt a hedgehog but he managed to adopt a turtle.,Mason failed to adopt a turtle but he managed to adopt a hedgehog.,I know that Mason owns a hedgehog but I doubt that he owns a turtle.,I know that Mason owns a turtle but I doubt that he owns a hedgehog.,I doubt that Mason owns a hedgehog but I know that he owns a turtle.,I doubt that Mason owns a turtle but I know that he owns a hedgehog.,His hedgehog follows him everywhere he goes.,His turtle follows him everywhere he goes.,The hedgehog that he liked had been adopted by someone else.,The turtle that he liked had been adopted by someone else.
9_hedgehog_parrot,Oliver doesn't own a hedgehog but he owns a parrot.,Oliver doesn't own a parrot but he owns a hedgehog.,Oliver owns a hedgehog but he doesn't own a parrot.,Oliver owns a parrot but he doesn't own a hedgehog.,Oliver wants to own a hedgehog but he owns a parrot.,Oliver wants to own a parrot but he owns a hedgehog.,Oliver owns a hedgehog but he wants to own a parrot.,Oliver owns a parrot but he wants to own a hedgehog.,Oliver managed to adopt a hedgehog but he failed to adopt a parrot.,Oliver managed to adopt a parrot but he failed to adopt a hedgehog.,Oliver failed to adopt a hedgehog but he managed to adopt a parrot.,Oliver failed to adopt a parrot but he managed to adopt a hedgehog.,I know that Oliver owns a hedgehog but I doubt that he owns a parrot.,I know that Oliver owns a parrot but I doubt that he owns a hedgehog.,I doubt that Oliver owns a hedgehog but I know that he owns a parrot.,I doubt that Oliver owns a parrot but I know that he owns a hedgehog.,His hedgehog follows him everywhere he goes.,His parrot follows him everywhere he goes.,The hedgehog that he liked had been adopted by someone else.,The parrot that he liked had been adopted by someone else.
10_turtle_parrot,Elijah doesn't own a turtle but he owns a parrot.,Elijah doesn't own a parrot but he owns a turtle.,Elijah owns a turtle but he doesn't own a parrot.,Elijah owns a parrot but he doesn't own a turtle.,Elijah wants to own a turtle but he owns a parrot.,Elijah wants to own a parrot but he owns a turtle.,Elijah owns a turtle but he wants to own a parrot.,Elijah owns a parrot but he wants to own a turtle.,Elijah managed to adopt a turtle but he failed to adopt a parrot.,Elijah managed to adopt a parrot but he failed to adopt a turtle.,Elijah failed to adopt a turtle but he managed to adopt a parrot.,Elijah failed to adopt a parrot but he managed to adopt a turtle.,I know that Elijah owns a turtle but I doubt that he owns a parrot.,I know that Elijah owns a parrot but I doubt that he owns a turtle.,I doubt that Elijah owns a turtle but I know that he owns a parrot.,I doubt that Elijah owns a parrot but I know that he owns a turtle.,His turtle follows him everywhere he goes.,His parrot follows him everywhere he goes.,The turtle that he liked had been adopted by someone else.,The parrot that he liked had been adopted by someone else.
