id,sentence,type,expected,order,logprobs,continuation_log_prob,critical_token_idx,id_num,tokens
1_dog_cat_affirmative_negation_ref,Liam owns a dog but he doesn't own a cat. His dog follows him everywhere he goes.,affirmative_negation,1,1,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -5.135364532470703, -5.256587028503418, -1.8849515914916992, -1.7755963802337646, -0.7850115895271301, -0.00035398892941884696, -3.50313401222229, -0.458350270986557, -0.9607207179069519, -0.4893665611743927, -4.770313262939453, -1.6259735822677612, -6.8274641036987305, -0.21040724217891693, -0.7090936303138733, -1.7255812883377075, -0.012140310369431973, -0.49402669072151184]",-16.375000110827386,14,1,▁Li|am|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_cat_affirmative_negation_ref,Liam owns a dog but he doesn't own a cat. His cat follows him everywhere he goes.,affirmative_negation,0,1,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -5.135364532470703, -5.256587028503418, -1.8849515914916992, -1.7755963802337646, -0.7850115895271301, -0.00035398892941884696, -3.50313401222229, -0.458350270986557, -0.9607207179069519, -0.4893665611743927, -4.770313262939453, -1.9212511777877808, -8.206747055053711, -0.1886710524559021, -1.1234430074691772, -1.9521230459213257, -0.014511520974338055, -0.49550238251686096]",-18.67256250511855,14,1,▁Li|am|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_cat_affirmative_negation_nonref,Liam owns a dog but he doesn't own a cat. The cat that he liked had been adopted by someone else.,affirmative_negation,1,1,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -5.135364532470703, -5.256587028503418, -1.8849515914916992, -1.7755963802337646, -0.7850115895271301, -0.00035398892941884696, -3.50313401222229, -0.458350270986557, -0.9607207179069519, -0.4893665611743927, -3.243978500366211, -1.7826956510543823, -3.9718270301818848, -1.7322773933410645, -7.677004337310791, -4.221805095672607, -1.705695390701294, -3.106109857559204, -0.3739599585533142, -1.5169556140899658, -0.09644626826047897, -0.29268690943717957]",-29.721442006528378,14,1,▁Li|am|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁The|▁cat|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_cat_affirmative_negation_nonref,Liam owns a dog but he doesn't own a cat. The dog that he liked had been adopted by someone else.,affirmative_negation,0,1,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -5.135364532470703, -5.256587028503418, -1.8849515914916992, -1.7755963802337646, -0.7850115895271301, -0.00035398892941884696, -3.50313401222229, -0.458350270986557, -0.9607207179069519, -0.4893665611743927, -3.243978500366211, -1.4050911664962769, -5.3536696434021, -1.4953365325927734, -10.294191360473633, -4.47337007522583, -1.9934844970703125, -4.102025032043457, -0.4961213767528534, -1.6205313205718994, -0.14866124093532562, -0.32029375433921814]",-34.94675450026989,14,1,▁Li|am|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁The|▁dog|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_cat_affirmative_negation_ref,Liam owns a cat but he doesn't own a dog. His cat follows him everywhere he goes.,affirmative_negation,1,2,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -6.6103715896606445, -5.557875156402588, -2.0425631999969482, -1.7981044054031372, -0.7669379115104675, -0.00023445718397852033, -3.6696596145629883, -0.47872063517570496, -0.6975075006484985, -0.4891907274723053, -4.499880313873291, -1.7263872623443604, -7.720113277435303, -0.11795298755168915, -0.9316727519035339, -1.8155264854431152, -0.012021237052977085, -0.4864998161792755]",-17.310054131783545,14,1,▁Li|am|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_cat_affirmative_negation_ref,Liam owns a cat but he doesn't own a dog. His dog follows him everywhere he goes.,affirmative_negation,0,2,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -6.6103715896606445, -5.557875156402588, -2.0425631999969482, -1.7981044054031372, -0.7669379115104675, -0.00023445718397852033, -3.6696596145629883, -0.47872063517570496, -0.6975075006484985, -0.4891907274723053, -4.499880313873291, -2.318554162979126, -7.966400623321533, -0.2284810096025467, -1.0894824266433716, -2.008695363998413, -0.017310602590441704, -0.48263657093048096]",-18.611441073939204,14,1,▁Li|am|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_cat_affirmative_negation_nonref,Liam owns a cat but he doesn't own a dog. The dog that he liked had been adopted by someone else.,affirmative_negation,1,2,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -6.6103715896606445, -5.557875156402588, -2.0425631999969482, -1.7981044054031372, -0.7669379115104675, -0.00023445718397852033, -3.6696596145629883, -0.47872063517570496, -0.6975075006484985, -0.4891907274723053, -3.323169231414795, -1.8635567426681519, -3.727747917175293, -1.492005705833435, -6.911205291748047, -4.202317714691162, -1.733478307723999, -3.0415139198303223, -0.4230697453022003, -1.5872063636779785, -0.09130499511957169, -0.26707252860069275]",-28.66364846378565,14,1,▁Li|am|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_cat_affirmative_negation_nonref,Liam owns a cat but he doesn't own a dog. The cat that he liked had been adopted by someone else.,affirmative_negation,0,2,"[-3.640507459640503, -10.260759353637695, -0.11852662265300751, -1.3388177156448364, -6.6103715896606445, -5.557875156402588, -2.0425631999969482, -1.7981044054031372, -0.7669379115104675, -0.00023445718397852033, -3.6696596145629883, -0.47872063517570496, -0.6975075006484985, -0.4891907274723053, -3.323169231414795, -1.5835684537887573, -5.793161869049072, -1.1293781995773315, -10.15468692779541, -4.466580867767334, -2.0246758460998535, -3.892397403717041, -0.42719417810440063, -1.6545614004135132, -0.15751272439956665, -0.3438369333744049]",-34.95072403550148,14,1,▁Li|am|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁cat|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_cat_negation_affirmative_ref,Liam doesn't own a dog but he owns a cat. His cat follows him everywhere he goes.,negation_affirmative,1,1,"[-3.640507459640503, -7.591460704803467, -0.7046241760253906, -0.0005062728887423873, -6.2731852531433105, -0.9788673520088196, -4.3921217918396, -3.004256010055542, -1.2916874885559082, -5.311600685119629, -0.009999537840485573, -0.4844750463962555, -1.7168084383010864, -1.069522500038147, -3.771427631378174, -0.9613680839538574, -7.939715385437012, -0.11962098628282547, -0.7966310977935791, -1.8069382905960083, -0.015210118144750595, -0.596185564994812]",-16.00709715858102,14,1,▁Li|am|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁he|▁own|s|▁a|▁cat|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_cat_negation_affirmative_ref,Liam doesn't own a dog but he owns a cat. His dog follows him everywhere he goes.,negation_affirmative,0,1,"[-3.640507459640503, -7.591460704803467, -0.7046241760253906, -0.0005062728887423873, -6.2731852531433105, -0.9788673520088196, -4.3921217918396, -3.004256010055542, -1.2916874885559082, -5.311600685119629, -0.009999537840485573, -0.4844750463962555, -1.7168084383010864, -1.069522500038147, -3.771427631378174, -4.133596897125244, -7.754457473754883, -0.3845318853855133, -1.0147212743759155, -2.363097667694092, -0.025679387152194977, -0.6573289632797241]",-20.10484118014574,14,1,▁Li|am|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁he|▁own|s|▁a|▁cat|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
