id,sentence,type,pronoun,logprobs,continuation_log_prob,id_num,tokens
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -2.306532382965088, -3.7661473751068115, -5.7800679206848145, -0.2674556076526642, -0.9076675176620483, -2.172020435333252, -0.025911735370755196, -0.3917476534843445]",-12.919270591810346,1,▁John|▁own|s|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -2.306532382965088, -3.7661473751068115, -2.396972179412842, -0.005127612501382828, -2.8722095489501953, -1.592769980430603, -3.6183512210845947, -2.1630942821502686, -0.9499940872192383]",-16.414672199636698,1,▁John|▁own|s|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -2.9209647178649902, -4.236626625061035, -7.86759090423584, -0.8195929527282715, -1.8949717283248901, -2.16865873336792, -0.029523706063628197, -0.5505819320678711]",-17.016964649781585,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -2.9209647178649902, -4.236626625061035, -0.9739780426025391, -0.009572557173669338, -1.7396706342697144, -2.3083908557891846, -3.915821075439453, -0.6258575916290283, -0.9943460822105408]",-13.809917381964624,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,"[-3.944467067718506, -2.1107535362243652, -7.705428600311279, -8.179044723510742, -0.009363308548927307, -1.1002384424209595, -4.964204788208008, -1.558861255645752, -3.9707207679748535, -4.112485408782959, -8.76213264465332, -1.7628746032714844, -1.946401834487915, -0.01673246920108795, -0.5581886172294617]",-20.57134772837162,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,"[-3.944467067718506, -2.1107535362243652, -7.705428600311279, -8.179044723510742, -0.009363308548927307, -1.1002384424209595, -4.964204788208008, -1.558861255645752, -3.9707207679748535, -1.7668250799179077, -0.005962086841464043, -2.312397003173828, -1.8440812826156616, -2.1570866107940674, -0.7897951006889343, -1.1606355905532837]",-12.846867932006717,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,"[-7.048640251159668, -1.5054582357406616, -7.482348442077637, -9.10593032836914, -0.014287438243627548, -1.1521975994110107, -4.666148662567139, -0.9762410521507263, -3.741227865219116, -8.38956356048584, -7.675887107849121, -1.8092023134231567, -2.043436050415039, -0.026025449857115746, -0.6316967010498047]",-23.68534234724939,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,"[-7.048640251159668, -1.5054582357406616, -7.482348442077637, -9.10593032836914, -0.014287438243627548, -1.1521975994110107, -4.666148662567139, -0.9762410521507263, -3.741227865219116, -1.2836157083511353, -0.016460338607430458, -2.1976852416992188, -2.3543944358825684, -2.941129446029663, -0.6065895557403564, -1.3577535152435303]",-13.141102591529489,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,"[-9.226579666137695, -0.5744073390960693, -7.010986328125, -1.6903884410858154, -4.546668529510498, -2.443868637084961, -4.481485366821289, -8.824411392211914, -0.6087029576301575, -1.8490780591964722, -1.9103878736495972, -0.025564588606357574, -0.5145377516746521]",-17.699630238115788,1,▁John|▁wants|▁to|▁own|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,"[-9.226579666137695, -0.5744073390960693, -7.010986328125, -1.6903884410858154, -4.546668529510498, -2.443868637084961, -4.481485366821289, -2.0945510864257812, -0.03117085061967373, -2.718035936355591, -2.4075875282287598, -2.492770195007324, -0.4005432724952698, -1.2258812189102173]",-14.626144235953689,1,▁John|▁wants|▁to|▁own|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,"[-10.726438522338867, -0.42341458797454834, -9.099029541015625, -1.3089958429336548, -4.29827880859375, -2.231076717376709, -3.2567598819732666, -8.997337341308594, -2.6782338619232178, -3.583590030670166, -2.0424094200134277, -0.03731219470500946, -1.436719298362732]",-20.59564273059368,1,▁John|▁managed|▁to|▁adopt|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
