id,sentence,type,expected,order,logprobs,continuation_log_prob,critical_token_idx,id_num,tokens
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His dog follows him everywhere he goes.,affirmative_negation,1,1,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -5.392484188079834, -2.06390643119812, -1.8758928775787354, -0.7176908254623413, -0.0005421360838226974, -3.0343189239501953, -0.528612494468689, -0.7810459733009338, -0.4757187068462372, -4.683999538421631, -1.7530261278152466, -6.725559234619141, -0.2217915654182434, -0.8435052037239075, -1.546356439590454, -0.012233697809278965, -0.44823017716407776]",-16.23470198456198,13,1,▁John|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His cat follows him everywhere he goes.,affirmative_negation,0,1,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -5.392484188079834, -2.06390643119812, -1.8758928775787354, -0.7176908254623413, -0.0005421360838226974, -3.0343189239501953, -0.528612494468689, -0.7810459733009338, -0.4757187068462372, -4.683999538421631, -2.2263755798339844, -8.313009262084961, -0.22020909190177917, -1.266093373298645, -1.856825828552246, -0.014278859831392765, -0.44134217500686646]",-19.022133708931506,13,1,▁John|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The cat that he liked had been adopted by someone else.,affirmative_negation,1,1,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -5.392484188079834, -2.06390643119812, -1.8758928775787354, -0.7176908254623413, -0.0005421360838226974, -3.0343189239501953, -0.528612494468689, -0.7810459733009338, -0.4757187068462372, -3.1518545150756836, -2.1641950607299805, -4.470882415771484, -1.9446067810058594, -8.444204330444336, -4.2260847091674805, -1.765750765800476, -3.551140308380127, -0.32923874258995056, -1.5628201961517334, -0.11402465403079987, -0.29762357473373413]",-32.022426053881645,13,1,▁John|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁The|▁cat|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The dog that he liked had been adopted by someone else.,affirmative_negation,0,1,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -5.392484188079834, -2.06390643119812, -1.8758928775787354, -0.7176908254623413, -0.0005421360838226974, -3.0343189239501953, -0.528612494468689, -0.7810459733009338, -0.4757187068462372, -3.1518545150756836, -1.5414122343063354, -5.4628143310546875, -1.8908984661102295, -10.601869583129883, -4.416753768920898, -1.9773615598678589, -4.526870250701904, -0.4216788411140442, -1.6418571472167969, -0.15449820458889008, -0.30824682116508484]",-36.0961157232523,13,1,▁John|▁own|s|▁a|▁dog|▁but|▁he|▁doesn|'|t|▁own|▁a|▁cat|.|▁The|▁dog|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His cat follows him everywhere he goes.,affirmative_negation,1,2,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -6.973640441894531, -5.720827579498291, -2.2066612243652344, -1.8767112493515015, -0.701342761516571, -0.00039748396375216544, -3.1759114265441895, -0.5712261199951172, -0.6558911800384521, -0.4893623888492584, -4.431551933288574, -1.8728649616241455, -7.404422760009766, -0.11629334837198257, -1.0174521207809448, -1.6518977880477905, -0.012510748580098152, -0.405529648065567]",-16.91252330876887,13,1,▁John|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His dog follows him everywhere he goes.,affirmative_negation,0,2,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -6.973640441894531, -5.720827579498291, -2.2066612243652344, -1.8767112493515015, -0.701342761516571, -0.00039748396375216544, -3.1759114265441895, -0.5712261199951172, -0.6558911800384521, -0.4893623888492584, -4.431551933288574, -2.216604471206665, -7.874052047729492, -0.23220576345920563, -1.2794893980026245, -1.8761591911315918, -0.016837971284985542, -0.4132404625415802]",-18.34014123864472,13,1,▁John|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The dog that he liked had been adopted by someone else.,affirmative_negation,1,2,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -6.973640441894531, -5.720827579498291, -2.2066612243652344, -1.8767112493515015, -0.701342761516571, -0.00039748396375216544, -3.1759114265441895, -0.5712261199951172, -0.6558911800384521, -0.4893623888492584, -3.2195205688476562, -2.0918445587158203, -4.237551212310791, -1.6144815683364868, -7.75082540512085, -4.2152814865112305, -1.7203898429870605, -3.759404182434082, -0.3648296594619751, -1.647966980934143, -0.1065746545791626, -0.2631371319293976]",-30.991807252168655,13,1,▁John|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The cat that he liked had been adopted by someone else.,affirmative_negation,0,2,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -6.973640441894531, -5.720827579498291, -2.2066612243652344, -1.8767112493515015, -0.701342761516571, -0.00039748396375216544, -3.1759114265441895, -0.5712261199951172, -0.6558911800384521, -0.4893623888492584, -3.2195205688476562, -1.7431718111038208, -5.853644371032715, -1.5196096897125244, -10.688676834106445, -4.372482776641846, -2.004180908203125, -4.279906272888184, -0.38817015290260315, -1.5996390581130981, -0.15552003681659698, -0.32337918877601624]",-36.14790166914463,13,1,▁John|▁own|s|▁a|▁cat|▁but|▁he|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁cat|▁that|▁he|▁liked|▁had|▁been|▁adopted|▁by|▁someone|▁else|.
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His cat follows him everywhere he goes.,negation_affirmative,1,1,"[-9.52564811706543, -0.919522225856781, -0.00036459474358707666, -5.940256118774414, -1.200070858001709, -4.347689628601074, -3.0957908630371094, -1.344103217124939, -4.876694202423096, -0.00684760557487607, -0.5041565895080566, -1.6416009664535522, -0.9636945724487305, -3.645573616027832, -0.9958511590957642, -7.794436931610107, -0.12191924452781677, -0.8902198672294617, -1.5708353519439697, -0.01392353605479002, -0.4856323003768921]",-15.518392006866634,13,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁he|▁own|s|▁a|▁cat|.|▁His|▁cat|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His dog follows him everywhere he goes.,negation_affirmative,0,1,"[-9.52564811706543, -0.919522225856781, -0.00036459474358707666, -5.940256118774414, -1.200070858001709, -4.347689628601074, -3.0957908630371094, -1.344103217124939, -4.876694202423096, -0.00684760557487607, -0.5041565895080566, -1.6416009664535522, -0.9636945724487305, -3.645573616027832, -3.450845241546631, -7.369920253753662, -0.3602871894836426, -1.1015794277191162, -2.039933204650879, -0.021052589640021324, -0.547238826751709]",-18.536430349573493,13,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁he|▁own|s|▁a|▁cat|.|▁His|▁dog|▁follows|▁him|▁everywhere|▁he|▁goes|.
