id,sentence,type,pronoun,logprobs,continuation_log_prob,id_num,tokens
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -2.655521869659424, -4.037186145782471, -5.850089073181152, -0.16471163928508759, -0.7676939964294434, -1.8657655715942383, -0.014583070762455463, -0.37051400542259216]",-13.07054350245744,1,▁John|▁own|s|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,"[-11.126164436340332, -0.23389922082424164, -1.3820706605911255, -5.406682014465332, -2.655521869659424, -4.037186145782471, -1.9353445768356323, -0.005992422811686993, -3.3740477561950684, -1.3488855361938477, -4.038246154785156, -0.9643798470497131, -0.8015862703323364]",-16.505668709985912,1,▁John|▁own|s|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,"[-9.52564811706543, -0.919522225856781, -0.00036459474358707666, -5.940256118774414, -1.200070858001709, -4.347689628601074, -3.041262626647949, -4.278184413909912, -8.915956497192383, -1.0705317258834839, -1.4467586278915405, -1.7590558528900146, -0.019180189818143845, -0.45888036489486694]",-17.948547672480345,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,"[-9.52564811706543, -0.919522225856781, -0.00036459474358707666, -5.940256118774414, -1.200070858001709, -4.347689628601074, -3.041262626647949, -4.278184413909912, -0.8268013596534729, -0.012700389139354229, -1.5888736248016357, -2.3130781650543213, -3.6242122650146484, -0.8524600863456726, -1.029976487159729]",-14.526286791078746,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,"[-4.491087913513184, -1.9560986757278442, -7.9470977783203125, -9.490756034851074, -0.0050466060638427734, -1.1087535619735718, -4.174406051635742, -1.571365237236023, -3.4666714668273926, -5.318744659423828, -3.8746862411499023, -0.8278324604034424, -1.684415340423584, -0.01007849257439375, -0.38706985116004944]",-15.569498511962593,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,"[-4.491087913513184, -1.9560986757278442, -7.9470977783203125, -9.490756034851074, -0.0050466060638427734, -1.1087535619735718, -4.174406051635742, -1.571365237236023, -3.4666714668273926, -1.6115753650665283, -0.007071348838508129, -2.9582743644714355, -1.3657793998718262, -2.414105176925659, -0.9841928482055664, -1.160141944885254]",-13.96781191509217,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,"[-6.9566755294799805, -1.6479328870773315, -7.920249938964844, -10.74164867401123, -0.011446635238826275, -1.218193769454956, -4.729825019836426, -1.0646415948867798, -3.551208734512329, -8.041614532470703, -6.318203449249268, -2.046196937561035, -1.8151224851608276, -0.018355155363678932, -0.7276740074157715]",-22.518375301733613,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,"[-6.9566755294799805, -1.6479328870773315, -7.920249938964844, -10.74164867401123, -0.011446635238826275, -1.218193769454956, -4.729825019836426, -1.0646415948867798, -3.551208734512329, -1.401526689529419, -0.01651369035243988, -2.2546916007995605, -2.014233350753784, -3.3317439556121826, -0.8267512321472168, -1.5560683012008667]",-14.952737554907799,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,"[-9.088748931884766, -0.7472087740898132, -7.456791877746582, -1.5630298852920532, -4.412808418273926, -2.374201536178589, -4.699488639831543, -8.242193222045898, -1.1307594776153564, -1.5276906490325928, -1.9497289657592773, -0.019599581137299538, -0.4223261773586273]",-17.991786712780595,1,▁John|▁wants|▁to|▁own|▁a|▁dog|▁and|▁it|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,"[-9.088748931884766, -0.7472087740898132, -7.456791877746582, -1.5630298852920532, -4.412808418273926, -2.374201536178589, -4.699488639831543, -1.81093430519104, -0.009786011651158333, -2.6296167373657227, -2.564741373062134, -3.727670669555664, -0.6224692463874817, -1.2457599639892578]",-17.310466947034,1,▁John|▁wants|▁to|▁own|▁a|▁dog|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
